ID,sec14,sec15,sec16,sec17
712,NA,NA,1,1
713,NA,NA,1,1
714,NA,NA,1,1
715,NA,NA,1,1
716,NA,NA,1,1
717,1,1,1,1
718,1,1,1,1
719,NA,NA,NA,NA
720,NA,NA,NA,NA
721,NA,NA,NA,NA
722,NA,NA,NA,NA
723,NA,NA,NA,NA
724,NA,NA,NA,NA
725,NA,NA,NA,NA
726,NA,NA,NA,NA
727,NA,NA,1,NA
728,NA,NA,1,NA
729,NA,NA,1,NA
730,NA,NA,1,NA
731,NA,NA,1,NA
732,NA,NA,1,NA
733,NA,NA,1,NA
734,NA,NA,1,NA
735,NA,NA,1,NA
736,NA,NA,NA,NA
737,NA,NA,NA,NA
738,NA,NA,NA,NA
739,NA,NA,NA,NA
740,NA,NA,NA,NA
741,NA,NA,NA,NA
742,NA,NA,NA,NA
743,NA,NA,NA,NA
744,NA,NA,NA,NA
745,NA,NA,NA,NA
746,NA,NA,NA,NA
747,NA,NA,NA,NA
748,NA,NA,NA,NA
749,NA,NA,NA,NA
750,NA,NA,NA,NA
751,NA,NA,NA,1.66666666666667
752,NA,NA,NA,2
753,1.75,1.5,1.66666666666667,2
754,1,1,1,1.66666666666667
755,1,1,1,1
756,1,1.5,1.33333333333333,1
757,1.75,1,1.66666666666667,1.33333333333333
758,NA,NA,NA,NA
759,NA,NA,NA,NA
760,NA,NA,NA,NA
761,NA,NA,NA,NA
762,NA,NA,NA,NA
763,NA,NA,NA,NA
764,NA,NA,NA,NA
765,NA,NA,NA,NA
766,NA,NA,NA,NA
767,NA,NA,NA,NA
768,NA,NA,NA,NA
769,NA,NA,NA,NA
770,NA,NA,NA,NA
771,NA,NA,NA,NA
772,NA,NA,NA,NA
773,NA,NA,NA,NA
774,NA,NA,NA,NA
775,NA,NA,NA,NA
776,NA,NA,NA,NA
777,NA,NA,NA,NA
778,NA,NA,NA,NA
779,NA,NA,NA,NA
780,NA,NA,NA,NA
781,NA,NA,NA,NA
782,NA,NA,NA,NA
783,NA,NA,NA,NA
784,NA,NA,NA,NA
785,NA,NA,NA,NA
786,NA,NA,NA,NA
787,NA,NA,NA,NA
788,NA,NA,NA,NA
789,NA,NA,NA,NA
790,NA,NA,NA,NA
791,NA,NA,NA,NA
792,1,1,1,1
793,1,1,1,1
794,1,1,1,1
795,1,1,1,1.66666666666667
796,1,1,1,1
797,1,1,1,1
798,1,1,1,1
799,1,1,1,NA
800,1,1,1,1.33333333333333
801,1,1,1,1.33333333333333
802,1,1,1,1.33333333333333
803,1,1,1,1.33333333333333
804,1,1,1,1
805,1,1,1,1.33333333333333
806,1,1,1,1.66666666666667
807,2.25,2,1.66666666666667,1.66666666666667
808,1.75,2,2,1.66666666666667
809,1,1,1,1.66666666666667
810,1,1,1,1.66666666666667
811,1,1,1.66666666666667,1.33333333333333
812,1,1,1.66666666666667,1.66666666666667
813,1,1,1,1.66666666666667
814,1,1,1.33333333333333,1.66666666666667
815,1,1,1,1.33333333333333
816,1,1,1,1
817,1,1,1,1.33333333333333
818,1,1,1,1
819,1,1,1,1
820,1,1,1,1
821,2.25,2,2,2
822,1,1,1,1
823,1,1,1,1
824,1,1,1,1
825,1,1,1,1
826,1,1,1,1
827,1,1,1,1
828,1,1,1,1
829,1,1,1,1
830,1,1,1,1
831,1,1,1,1
832,1,1,1,1.33333333333333
833,1,1,1,1
834,1,1,1,1
835,2.25,2.25,2.33333333333333,2.66666666666667
836,1,1,1,1.66666666666667
837,1,1,1.33333333333333,1.66666666666667
838,1,1,1.66666666666667,1.33333333333333
839,1,1,1,1.33333333333333
840,1,1,1,1
841,1,1,1,1
842,1,1,1,1
843,1,1,1,1
844,1,1,1,1
845,1,1,1,1
846,1,1,1,1
847,1,1,1,1.33333333333333
848,1,1,1,1
849,1,1,1,1
850,1,1,1,1
851,1,1,1,1
852,NA,NA,NA,NA
853,NA,NA,NA,NA
854,NA,NA,NA,NA
855,NA,NA,NA,NA
856,NA,NA,NA,NA
857,NA,NA,NA,NA
858,NA,NA,NA,NA
859,2,1.75,1.66666666666667,3.66666666666667
860,1,1,1,1
861,1,1,1,1
862,1,1,1,1.33333333333333
863,1,1,1,1
864,NA,NA,NA,NA
865,NA,NA,NA,NA
866,NA,NA,NA,NA
867,1.5,1.5,1,1
868,NA,NA,NA,NA
869,NA,NA,NA,NA
870,NA,NA,NA,NA
871,NA,NA,NA,NA
872,NA,NA,NA,NA
873,1.75,2.25,2.66666666666667,2.33333333333333
874,NA,1,1,1
875,1.5,1.75,2.66666666666667,2
876,NA,NA,NA,NA
877,NA,NA,NA,NA
878,NA,NA,NA,NA
879,NA,NA,NA,NA
880,1,1,1,1
881,1,1,1,1
882,1,1,1,1
883,1,1,1,1
884,1,1,1,1
885,1,1,1,1
886,1,1,1,1
887,1,1,1,1
888,1,1,1,1
889,1,1,1,1
890,1,1,1,1
891,1,1,1,1
892,1,1,1,1
893,1.5,1.5,1,1
894,1,1,1,1
895,1,1,1,1
896,1,1,1,1
897,1,1,1,1
898,1,1,1,1
899,1,1,1,1
900,1,1,1,1
901,1,1,1,1
902,NA,NA,NA,NA
903,1,1,1,1
904,1,1,1,1
905,NA,NA,NA,NA
906,NA,NA,NA,NA
907,NA,NA,NA,NA
908,NA,NA,NA,NA
909,NA,NA,NA,NA
910,NA,NA,NA,NA
911,NA,NA,NA,NA
912,NA,NA,NA,NA
913,NA,NA,NA,NA
914,NA,NA,NA,NA
915,NA,NA,NA,NA
916,NA,NA,NA,NA
917,NA,NA,NA,NA
918,NA,NA,NA,NA
919,NA,NA,NA,NA
920,NA,NA,NA,NA
921,NA,NA,NA,NA
922,NA,NA,1,1
923,NA,NA,1,1
924,NA,NA,1,1
