"","V1"
"471",114.298217979637
"472",58.8950476295504
"473",17.6426274128052
"474",21.1762348833702
"475",30.6993056290053
"476",20.7015318138558
"477",5.85875200996565
"478",88.321706192963
"479",17.6037627742866
"480",21.9742532736295
"481",28.5172914872909
"482",40.9053263466934
"483",43.19951501902
"484",55.0355527663932
"485",60.2362471506604
"486",47.0949006552743
"487",21.1060649947305
"488",34.2274311137199
"489",18.601007040014
"490",11.3184960229331
"491",6.63219574830077
"492",24.7902802465899
"493",67.379801792257
"494",2.40339372606296
"495",32.7821391340961
"496",4465.70080566406
"497",18.0645230153272
"498",28.2649232247263
"499",56.0160020454591
"500",14.4048761965584
"501",35.9437451547976
"502",1711.81562127007
"503",252.956277289586
"504",265.401717724578
"505",179.896371499086
"506",552.81562568146
"507",618.919756635835
"508",141.116684620916
"509",7.24725181489222
"510",3802.10534667969
"511",10.8203933102913
"512",2152.37561932477
"513",1.08195032643823
"514",6.52001153305726
"515",67.53816960309
"516",328.479416206905
"517",90.5439638622264
"518",35.7203752946372
"519",92.6790113547414
"520",102.938512120928
"521",387.560410363334
"522",187.157419192791
"523",169.598808102491
"524",344.609282406894
"525",2150.66079711914
"526",534.478094482422
"527",122.402676960207
"528",66.8574229020339
"529",305.256826582409
"530",162.053883067767
"531",159.209275692701
"532",209.212186171458
"533",296.5713971138
"534",986.663939921061
"535",4003.08508300781
"536",628.85827589035
"537",199.929667966119
"538",239.695904270295
"539",443.693295348774
"540",120.742366620472
"541",66.5054324737885
"542",155.505690116582
"543",176.686706659529
"544",98.7312450222347
"545",4760.18524169922
"546",116.999077724914
"547",83.3828625771765
"548",0.304751243442297
"549",368.014785244351
"550",33.8867226549953
"551",243.017187233431
"552",7149.97609165737
"553",3267.77514648438
"554",102.390734932639
"555",1990.25317382812
"556",22.5187968056777
"557",20.287159204483
"558",37.2102035587117
"559",462.762879053752
"560",7883.83512369792
"561",265.914648183187
"562",1810.69526333279
"563",52.8410753409068
"564",744.891765322004
"565",114.118123482014
"566",28.6790515051948
"567",13.1326274602644
"568",9.33572008024971
"569",17.0395610928535
"570",83.119854348851
"571",397.93270816332
"572",212.571715574998
"573",1139.9020953046
"574",631.798472595215
"575",8416.67944335938
"576",14.6988847819679
"577",41.4096176566294
"578",2911.70757039388
"579",31.8872399984135
"580",54.703560774484
"581",3.67330212738837
"582",2867.70890474319
"583",1230.96491784316
"584",1041.42437350049
"585",147.572537042672
"586",1558.87089538574
"587",756.56492972374
"588",412.308575291932
"589",1690.19479025111
"590",6.25598564836806
"591",19.6991802645942
"592",9.72000218145918
"593",58.5930835794519
"594",NA
"595",2.14353716373444
"596",38.2963829040527
"597",NA
"598",NA
"599",525.700607299805
"600",723.976989746094
"601",1520.17016601562
"602",243.160372416178
"603",308.157485961914
"604",365.562469482422
"605",349.399864196777
"606",563.75840250651
"607",1056.21348063151
"608",92.2685760498047
"609",312.075831486629
"610",126.674005508423
"611",337.769844055176
"612",3502.56469726562
"613",644.408477783203
"614",582.729711914062
"615",330.819030761719
"616",262.561935424805
"617",208.831817626953
"618",156.429178237915
"619",228.433387756348
"620",322.844334920247
"621",360.2490234375
"622",360.2490234375
"623",360.2490234375
"624",330.819030761719
"625",330.819030761719
"626",301.237334251404
"627",402.704437255859
"628",474.58984375
"629",474.58984375
"630",474.58984375
"631",336.024269104004
"632",255.390286763509
"633",299.843732198079
"634",105.269091288249
"635",70.6392547726631
"636",466.336181640625
"637",252.691301618304
"638",18.1667556762695
"639",55.0958290100098
"640",323.613983154297
"641",65.0641708374023
"642",48.7067667643229
"643",206.522262573242
"644",60.7112340927124
"645",53.2935676574707
"646",121.802215576172
"647",83.6966514587402
"648",62.0328788757324
"649",64.7571868896484
"650",41.2007039388021
"651",16.0555432637533
"652",38.251118183136
"653",123.090446472168
"654",23.3578128814697
"655",186.80816078186
"656",559.800903320312
"657",77.6197321755545
"658",202.673126220703
"659",NA
"660",184.545883178711
"661",32.2434370958159
"662",2217.56970214844
"663",1213.51538085938
"664",39.9108527337804
"665",41.548006022742
"666",65.2012375567822
"667",44.1333299264675
"668",31.5550197047216
"669",50.9863809518814
"670",37.4404428862807
"671",126.90990225053
"672",255.313757309259
"673",13.6572361799887
"674",20.9686190441316
"675",28.4097846908477
"676",538.923916303194
"677",291.192343954313
"678",204.909128974466
"679",166.821894302368
"680",427.838542591442
"681",530.298926830292
"682",145.242257740187
"683",331.414869208085
"684",481.71718528054
"685",168.850525697072
"686",555.100079345703
"687",100.585083127022
"688",56.7085850358009
"689",77.9689949073184
"690",203.037434577942
"691",238.436591796875
"692",87.5583117428948
"693",239.527143859863
"694",104.280729996531
"695",202.851041507721
"696",276.748880004883
"697",105.453540219201
"698",695.287836811759
"699",54.921597912198
"700",61.9772573997234
"701",112.706871899691
"702",158.667607234075
"703",145.873522186279
"704",153.672795231526
"705",88.3204386393229
"706",106.789980263546
"707",131.510797182719
"708",123.474301699934
"709",58.9489757257067
"710",73.6542973331783
"711",178.529118094114
"712",10.3228030250194
"713",23.0920926434961
"714",91.4029200812367
"715",40.9007846776829
"716",33.988010870201
"717",5205.2052230835
"718",371.843997673193
"719",82.7553733242014
"720",86.3226956438135
"721",50.9599977220808
"722",83.2928629684448
"723",109.806833822516
"724",53.5068055243651
"725",76.0106217002869
"726",20.7561999513903
"727",38.3989331566285
"728",27.2778432541999
"729",34.0490764151228
"730",54.0806005412135
"731",60.7537708706326
"732",148.874656836192
"733",61.287076431772
"734",12.6924841180444
"735",70.9831659453256
"736",181.094678725501
"737",138.98804978252
"738",2.87582093246893
"739",239.033288088712
"740",2576.19753823629
"741",154.708351169563
"742",210.006410934875
"743",403.317123546745
"744",457.584574693441
"745",1872.85178736637
"746",3713.55260213216
"747",1902.81151855469
"748",1160.72530329636
"749",878.611851441363
"750",1213.7964958121
"751",40.0860351092069
"752",13.8726882525598
"753",4.7939735002685
"754",40.9494760955252
"755",73.1901717736171
"756",9.53223045667013
"757",5.92952406526047
"758",178.243390077426
"759",46.7593691758628
"760",6.8739423426942
"761",702.832473754883
"762",1.85017172495524
"763",6.26845255225513
"764",15.8787650322092
"765",16.3182916126185
"766",26.9843425279906
"767",50.7515055070296
"768",183.631843514495
"769",134.065748156163
"770",141.776796125597
